condition,backbone,dataset,direction,seed,method,r10,r100,delta_r10,delta_r100,gt_protocol
MSCOCO_CLIP,CLIP-B/32,MSCOCO,text->image,42,vanilla,0.39534,0.570116,0.0,0.0,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,text->image,42,pmc,0.45514,0.623234,0.0598,0.053118,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,text->image,123,vanilla,0.39448,0.573612,0.0,0.0,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,text->image,123,pmc,0.46156,0.627012,0.06708,0.0534,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,text->image,456,vanilla,0.38794,0.56359,0.0,0.0,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,text->image,456,pmc,0.45804,0.625382,0.0701,0.061792,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,image->text,42,vanilla,0.28264,0.494006,0.0,0.0,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,image->text,42,pmc,0.38428,0.603168,0.10164,0.109162,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,image->text,123,vanilla,0.28312,0.498284,0.0,0.0,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,image->text,123,pmc,0.38132,0.600118,0.0982,0.101834,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,image->text,456,vanilla,0.2818,0.489752,0.0,0.0,original_exact_ip
MSCOCO_CLIP,CLIP-B/32,MSCOCO,image->text,456,pmc,0.38402,0.59742,0.10222,0.107668,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,42,vanilla,0.36628,0.541624,0.0,0.0,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,42,pmc,0.47712,0.648536,0.11084,0.106912,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,123,vanilla,0.3644,0.539074,0.0,0.0,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,123,pmc,0.47716,0.64744,0.11276,0.108366,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,456,vanilla,0.36192,0.537574,0.0,0.0,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,456,pmc,0.47526,0.648626,0.11334,0.111052,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,42,vanilla,0.26044,0.454186,0.0,0.0,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,42,pmc,0.43776,0.628142,0.17732,0.173956,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,123,vanilla,0.26336,0.468186,0.0,0.0,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,123,pmc,0.44628,0.633192,0.18292,0.165006,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,456,vanilla,0.25958,0.458722,0.0,0.0,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,456,pmc,0.44334,0.630302,0.18376,0.17158,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,text->image,42,vanilla,0.55382,0.667486,0.0,0.0,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,text->image,42,pmc,0.63216,0.748012,0.07834,0.080526,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,text->image,123,vanilla,0.5599,0.670776,0.0,0.0,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,text->image,123,pmc,0.62502,0.743642,0.06512,0.072866,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,text->image,456,vanilla,0.55378,0.66754,0.0,0.0,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,text->image,456,pmc,0.62858,0.747028,0.0748,0.079488,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,image->text,42,vanilla,0.57012,0.704342,0.0,0.0,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,image->text,42,pmc,0.63354,0.747904,0.06342,0.043562,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,image->text,123,vanilla,0.5629,0.701692,0.0,0.0,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,image->text,123,pmc,0.63808,0.75035,0.07518,0.048658,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,image->text,456,vanilla,0.56826,0.702934,0.0,0.0,original_exact_ip
MSCOCO_IB,ImageBind,MSCOCO,image->text,456,pmc,0.63986,0.75246,0.0716,0.049526,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,text->image,42,vanilla,0.4478,0.56761,0.0,0.0,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,text->image,42,pmc,0.5075,0.57963,0.0597,0.01202,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,text->image,123,vanilla,0.4508,0.57151,0.0,0.0,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,text->image,123,pmc,0.4976,0.57398,0.0468,0.00247,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,text->image,456,vanilla,0.4548,0.57154,0.0,0.0,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,text->image,456,pmc,0.5062,0.58369,0.0514,0.01215,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,image->text,42,vanilla,0.3634,0.46389,0.0,0.0,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,image->text,42,pmc,0.4655,0.54002,0.1021,0.07613,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,image->text,123,vanilla,0.3707,0.47331,0.0,0.0,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,image->text,123,pmc,0.4594,0.5491,0.0887,0.07579,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,image->text,456,vanilla,0.355,0.47344,0.0,0.0,original_exact_ip
Flickr_CLIP,CLIP-B/32,Flickr30K,image->text,456,pmc,0.4656,0.55281,0.1106,0.07937,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,text->image,42,vanilla,0.4424,0.55977,0.0,0.0,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,text->image,42,pmc,0.5393,0.59208,0.0969,0.03231,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,text->image,123,vanilla,0.4702,0.5532,0.0,0.0,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,text->image,123,pmc,0.5335,0.59795,0.0633,0.04475,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,text->image,456,vanilla,0.4487,0.55062,0.0,0.0,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,text->image,456,pmc,0.5397,0.60082,0.091,0.0502,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,image->text,42,vanilla,0.4275,0.49985,0.0,0.0,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,image->text,42,pmc,0.5444,0.56408,0.1169,0.06423,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,image->text,123,vanilla,0.4221,0.51732,0.0,0.0,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,image->text,123,pmc,0.5447,0.57032,0.1226,0.053,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,image->text,456,vanilla,0.4313,0.51418,0.0,0.0,original_exact_ip
Flickr_CLIP-L,CLIP-L/14,Flickr30K,image->text,456,pmc,0.5482,0.57816,0.1169,0.06398,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,text->image,42,vanilla,0.6009,0.61063,0.0,0.0,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,text->image,42,pmc,0.6607,0.65833,0.0598,0.0477,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,text->image,123,vanilla,0.5963,0.61785,0.0,0.0,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,text->image,123,pmc,0.6662,0.66272,0.0699,0.04487,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,text->image,456,vanilla,0.5857,0.60994,0.0,0.0,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,text->image,456,pmc,0.661,0.66435,0.0753,0.05441,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,image->text,42,vanilla,0.6188,0.61682,0.0,0.0,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,image->text,42,pmc,0.6627,0.64235,0.0439,0.02553,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,image->text,123,vanilla,0.6175,0.62342,0.0,0.0,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,image->text,123,pmc,0.6647,0.65807,0.0472,0.03465,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,image->text,456,vanilla,0.6244,0.6242,0.0,0.0,original_exact_ip
Flickr_IB,ImageBind,Flickr30K,image->text,456,pmc,0.6688,0.65911,0.0444,0.03491,original_exact_ip
Clotho_IB,ImageBind,Clotho,text->audio,42,vanilla,0.708612,0.776517,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,text->audio,42,pmc,0.705359,0.778909,-0.003254,0.002392,original_exact_ip
Clotho_IB,ImageBind,Clotho,text->audio,123,vanilla,0.694928,0.773751,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,text->audio,123,pmc,0.68689,0.778718,-0.008038,0.004967,original_exact_ip
Clotho_IB,ImageBind,Clotho,text->audio,456,vanilla,0.704211,0.773598,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,text->audio,456,pmc,0.691962,0.774431,-0.012249,0.000833,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,42,vanilla,0.609665,0.713464,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,42,pmc,0.664689,0.760976,0.055024,0.047512,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,123,vanilla,0.6,0.702804,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,123,pmc,0.658756,0.752211,0.058756,0.049407,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,456,vanilla,0.598565,0.707244,0.0,0.0,original_exact_ip
Clotho_IB,ImageBind,Clotho,audio->text,456,pmc,0.672344,0.757033,0.07378,0.049789,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,42,vanilla,0.361948,0.748358,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,42,pmc,0.394111,0.785504,0.032163,0.037146,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,42,vanilla,0.425339,0.822398,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,42,pmc,0.450226,0.826923,0.024887,0.004525,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,123,vanilla,0.35923,0.750623,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,123,pmc,0.396602,0.790487,0.037373,0.039864,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,123,vanilla,0.409502,0.794118,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,123,pmc,0.437783,0.819005,0.028281,0.024887,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,456,vanilla,0.361495,0.74564,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,456,pmc,0.402718,0.785504,0.041223,0.039864,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,456,vanilla,0.415158,0.809955,0.0,0.0,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,456,pmc,0.430995,0.820136,0.015837,0.010181,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,42,meanshift,0.36676,0.531732,0.00258,-0.008978,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,123,meanshift,0.3651,0.529662,-0.00012,-0.010218,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,text->image,456,meanshift,0.36374,0.532186,0.00328,-0.004788,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,42,meanshift,0.341,0.502344,0.08068,0.0482,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,123,meanshift,0.34488,0.509734,0.08164,0.041664,original_exact_ip
MSCOCO_CLIP-L,CLIP-L/14,MSCOCO,image->text,456,meanshift,0.34066,0.500328,0.0813,0.041718,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,42,meanshift,0.446821,0.782828,0.043672,0.018717,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,123,meanshift,0.432264,0.790255,0.035056,0.030897,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,text->audio,456,meanshift,0.428402,0.782234,0.028223,0.018122,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,42,meanshift,0.467456,0.816568,0.011834,-0.007396,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,123,meanshift,0.443787,0.829882,-0.002959,0.010355,original_exact_ip
AudioCaps_std,ImageBind,AudioCaps,audio->text,456,meanshift,0.463018,0.831361,-0.004438,0.02071,original_exact_ip
